Ref_produit,Categorie,Description,Marque
CJ695AAE,Licences et mises à jour de logiciel,HP Module for AFP Studio TemPost MVS-Z/OS Development SW E-LTU,HP
CJ449AAE,Licences et mises à jour de logiciel,HP Dialogue Live Certificates SW E-LTU,HP
CJ757AAE,Licences et mises à jour de logiciel,HP Dialogue Module for VIPP Output MVS-Z/OS Hot Backup SW E-LTU,HP
CQ595AAE,Licences et mises à jour de logiciel,HP Output Server Base Product CPU Development SW E-LTU,HP
PHA00034,Logiciels utilitaires pour PC,HP Pharos UP Higher Ed Site (FTE 40k-50k) License. Type: Impression,HP
PHA00005,Licences et mises à jour de logiciel,HP Pharos UP Standard (251-500) Device License,HP
PHA00020,Logiciels utilitaires pour PC,HP Pharos Omega PS150 HID USB Reader. Type: Impression,HP
TRO81031001,Cartouches de toner,HP TROY 1100 MICR Toner Cartridge,HP
TRO81038001,Cartouches de toner,HP TROY 2100/2200 MICR Toner Cartridge,HP
TRO00580201,Imprimantes laser,HP TROY 3005TN MICR Secure 2T/0L/110V Printer,HP
TRO81037001,Cartouches de toner,HP TROY 1320 MICR Secure High-yield Toner Cartridge,HP
TRO00579221,Imprimantes laser,HP TROY 3005TN MICR 2T/2L/110V Printer,HP
CN564AAE,Licences et mises à jour de logiciel,HP Utility for AFP Studio PDF Compare Visual Term SW E-LTU,HP
T8393AA,Non classé,HP QAInspect v5.0 for Test Director for Quality Center English SW Media,HP
T9597AA,Logiciels de développement,HP WebInspect Single Scan Target Non-Production SW License. Type: Logiciel de développement,HP
T9582AA,Logiciels de développement,HP QAInspect Test Director for Quality Center Named User SW License. Type: Logiciel de développement,HP
T9486AA,Logiciels de développement,HP SiteScope Microsoft IIS 6 Solution Template SW License. Type: Logiciel de développement,HP
T9891AA,Logiciels de développement,HP SaaS BAC Real User Monitor 50+ CPUs 1 Year Bundle Support SW License. Type: Logiciel de développement,HP
T9474AAE,Logiciels de développement,HP SaaS DDM for BAC Found (AE) 201-500 CPU 1 Year Bundle Support SW E-License. Type: Logiciel de développement,HP
T8357AA,Non classé,HP BAC for SAP Suite v7.00 English SW Media,HP
