Ref_produit,Categorie,Description,Marque
9H.Y2801.8AA,Appareils photos numériques,"BenQ T850. Type d'appareil photo: Appareil-photo compact, Mégapixel: 8 MP, Taille du capteur d'image: 1/2.5"", Type de capteur: CCD (dispositif à transfert de charge), Résolution d'image maximale: 3264 x 2448 pixels. Zoom optique: 3x, Zoom numérique: 5x, Longueur focale: 6.2 - 18.6 mm. Résolution vidéo maximale: 640 x 480 pixels. Taille de l'écran: 7,62 cm (3""), Écran tactile. Mémoire interne: 5 Mo. PictBridge. Poids: 120 g. Couleur du produit: Noir",BenQ
9H.07W01.9AA,Appareils photos numériques,"BenQ DC C750. Type d'appareil photo: Appareil-photo compact, Mégapixel: 7 MP, Type de capteur: CCD (dispositif à transfert de charge), Résolution d'image maximale: 3072 x 2304 pixels. Zoom optique: 3x, Zoom numérique: 4x, Longueur focale: 6.2 - 18.6 mm. Résolution vidéo maximale: 720 x 400 pixels. Taille de l'écran: 6,35 cm (2.5""). Mémoire interne: 16 Mo. Poids: 140 g. Couleur du produit: Argent",BenQ
9H.Y2R01.8TA,Appareils photos numériques,"BenQ E800. Type d'appareil photo: Appareil-photo compact, Mégapixel: 8,1 MP, Type de capteur: CCD (dispositif à transfert de charge), Résolution d'image maximale: 3264 x 2448 pixels. Zoom optique: 3x, Zoom numérique: 5x, Longueur focale: 5.7 - 17.1 mm. Résolution vidéo maximale: 640 x 480 pixels. Taille de l'écran: 6,86 cm (2.7""). Mémoire interne: 16 Mo. Poids: 140 g. Couleur du produit: Noir",BenQ
9H.T8867.8AA,Appareils photos numériques,"BenQ C850. Type d'appareil photo: Appareil-photo compact, Mégapixel: 8 MP, Taille du capteur d'image: 1/2.5"", Type de capteur: CCD (dispositif à transfert de charge), Résolution d'image maximale: 3264 x 2448 pixels. Zoom optique: 3x, Zoom numérique: 4x, Longueur focale: 6.2 - 18.6 mm. Résolution vidéo maximale: 720 x 400 pixels. Taille de l'écran: 6,86 cm (2.7""). Mémoire interne: 6 Mo. PictBridge. Poids: 140 g. Couleur du produit: Noir",BenQ
2756B012,Appareils photos numériques,Canon EOS Rebel XSi EF-S,Canon
WM08A161II,Machines à laver,"Siemens WM08A161II. Type de chargement: Charge avant. Capacité nominale: 5 kg, Classe d'efficacité d'essorage: D. Classe de lavage: A. Niveau sonore (lavage): 59 dB, Vitesse d'essorage maximale: 800 tr/min. Couleur du produit: Blanc. Largeur: 600 mm, Profondeur: 560 mm, Hauteur: 850 mm",Siemens
WP10T322IT,Machines à laver,"Siemens WP10T322IT. Type de chargement: Charge par dessus. Capacité nominale: 5,5 kg, Classe d'efficacité d'essorage: C. Classe de lavage: A. Niveau sonore (lavage): 59 dB, Vitesse d'essorage maximale: 1000 tr/min. Couleur du produit: Blanc. Largeur: 400 mm, Profondeur: 620 mm, Hauteur: 900 mm",Siemens
ACHSGHZ560CL,Chargeurs d'appareils mobiles,"Cellularline Mobile Charger. Type de chargeur: Intérieure, Compatibilité de chargeur: Téléphone portable. Tension d'entrée: 110 - 240 V. Couleur du produit: Noir",Cellularline
BETTYBEEEPCCAP,Sacoches d'ordinateurs portables,"Cellularline BETTYBEEEPCCAP. Type d'étui: Housse, Taille maximale de l’écran: 17,8 cm (7"")",Cellularline
RL41HTIH,Réfrigérateurs-congélateurs,"Samsung RL41HTIH. Capacité nette totale: 325 L. Capacité nette du réfrigérateur: 231 L, Nombre de clayettes/bacs du réfrigérateur: 4. Capacité net du congélateur: 94 L. Couleur du produit: Acier inoxydable",Samsung
WBC 3525 A+ NFW,Réfrigérateurs-congélateurs,"Whirlpool WBC 3525 A+ NFW. Capacité nette totale: 350 L, Niveau sonore: 42 dB. Capacité nette du réfrigérateur: 243 L, Nombre de clayettes/bacs du réfrigérateur: 3. Capacité net du congélateur: 107 L. Consommation annuelle d'énergie: 329 kWh. Couleur du produit: Blanc",Whirlpool
MSM6A60,Blenders,"Bosch MSM6A60. Type: Mélangeur par immersion, Couleur du produit: Blanc. Dimensions (LxPxH): 61 x 61 x 400 mm",Bosch
WBS 4345 A+ NFW,Réfrigérateurs-congélateurs,"Whirlpool WBS 4345 A+ NFW. Capacité nette totale: 432 L, Classe climatique: T, Niveau sonore: 43 dB. Capacité nette du réfrigérateur: 325 L, Nombre de clayettes/bacs du réfrigérateur: 3. Capacité net du congélateur: 107 L. Consommation annuelle d'énergie: 365 kWh. Couleur du produit: Blanc",Whirlpool
T8722LW,Sèche-linge,"Miele T 8722 LW. Placement de l'appareil: Pose libre, Type de chargement: Charge avant, Couleur du produit: Blanc. Capacité nominale: 7 kg, Vitesse d'essorage maximale: 1400 tr/min. Départ différé: 24 h. Classe d'efficacité énergétique: C, Consommation d'énergie: 3,25 kWh. Profondeur: 580 mm, Largeur: 595 mm, Hauteur: 850 mm",Miele
